Transaction ID,Student ID,Book Title,Course and Year,Date Borrowed
20240329-001,2021-85180-LQ-0,Research Writing Techniques,BSND-4,29/03/2024
20230204-001,2021-70028-LQ-0,Computer Networks,BSIT-4,04/02/2023
20230213-001,2023-09951-LQ-0,Philippine History,DOMT-2,13/02/2023
20240317-001,2022-85291-LQ-0,Electric Circuits,BSEE-3,17/03/2024
20240317-001,2022-85291-LQ-0,Digital Logic Design,BSEE-3,17/03/2024
20230312-001,2023-52812-LQ-0,Philippine History,BSBIO-2,12/03/2023
20230113-001,2022-65709-LQ-0,Geotechnical Engineering,BSCE-3,13/01/2023
20230113-001,2022-65709-LQ-0,Hydraulics,BSCE-3,13/01/2023
20230113-001,2022-65709-LQ-0,Structural Analysis,BSCE-3,13/01/2023
20240612-001,2024-40918-LQ-0,Auditing Theory,BSA-1,12/06/2024
20240612-001,2024-40918-LQ-0,Advanced Financial Accounting,BSA-1,12/06/2024
20240612-001,2024-40918-LQ-0,Taxation Law,BSA-1,12/06/2024
20240405-001,2023-79480-LQ-0,IT Fundamentals,DICT-2,05/04/2024
20240405-001,2023-79480-LQ-0,Web Development,DICT-2,05/04/2024
20231124-001,2024-77148-LQ-0,Geotechnical Engineering,BSCE-1,24/11/2023
20231124-001,2024-77148-LQ-0,Hydraulics,BSCE-1,24/11/2023
20231124-001,2024-77148-LQ-0,Structural Analysis,BSCE-1,24/11/2023
20231008-001,2023-06121-LQ-0,Cost Accounting,BSA-2,08/10/2023
20230725-001,2023-32775-LQ-0,Philippine History,BEED-2,25/07/2023
20230725-001,2023-32775-LQ-0,Research Writing Techniques,BEED-2,25/07/2023
20230323-001,2024-47308-LQ-0,Philippine History,BSND-1,23/03/2023
20230323-001,2024-47308-LQ-0,Research Writing Techniques,BSND-1,23/03/2023
20230323-001,2024-47308-LQ-0,English Grammar and Composition,BSND-1,23/03/2023
20231108-001,2021-28191-LQ-0,Principles of Marketing,BSBA-4,08/11/2023
20231108-001,2021-28191-LQ-0,Business Ethics,BSBA-4,08/11/2023
20231017-001,2023-60753-LQ-0,English Grammar and Composition,DOMT-2,17/10/2023
20231017-001,2023-60753-LQ-0,Research Writing Techniques,DOMT-2,17/10/2023
20230730-001,2024-03810-LQ-0,Research Writing Techniques,BSOA-1,30/07/2023
20230730-001,2024-03810-LQ-0,English Grammar and Composition,BSOA-1,30/07/2023
20230417-001,2022-36561-LQ-0,Web Development,DICT-3,17/04/2023
20230622-002,2022-33833-LQ-0,English Grammar and Composition,BSAM-3,22/06/2023
20230312-002,2024-26224-LQ-0,Basic Electrical Engineering,DEET-1,12/03/2023
20230312-002,2024-26224-LQ-0,Industrial Electronics,DEET-1,12/03/2023
20231119-001,2021-36123-LQ-0,Power Systems,BSEE-4,19/11/2023
20231119-001,2021-36123-LQ-0,Digital Logic Design,BSEE-4,19/11/2023
20231119-001,2021-36123-LQ-0,Electric Circuits,BSEE-4,19/11/2023
20240209-001,2024-41364-LQ-0,Digital Logic Design,BSEE-1,09/02/2024
20240510-001,2021-42715-LQ-0,Taxation Law,BSA-4,10/05/2024
20230918-001,2023-06157-LQ-0,Computer Networks,BSIT-2,18/09/2023
20230918-001,2023-06157-LQ-0,Introduction to Programming,BSIT-2,18/09/2023
20230918-001,2023-06157-LQ-0,Artificial Intelligence,BSIT-2,18/09/2023
20230708-001,2023-63042-LQ-0,Taxation Law,BSA-2,08/07/2023
20230708-001,2023-63042-LQ-0,Advanced Financial Accounting,BSA-2,08/07/2023
20230805-001,2023-03667-LQ-0,Operations Management,BSBA-2,05/08/2023
20240612-002,2021-76353-LQ-0,Research Writing Techniques,BEED-4,12/06/2024
20230623-001,2023-39390-LQ-0,Data Structures in C,BSIT-2,23/06/2023
20230611-001,2023-47233-LQ-0,Research Writing Techniques,BSBIO-2,11/06/2023
20231214-001,2024-12291-LQ-0,Cost Accounting,BSA-1,14/12/2023
20230524-001,2024-89157-LQ-0,Computer Hardware,DCpET-1,24/05/2023
20230524-001,2024-89157-LQ-0,Basic Programming,DCpET-1,24/05/2023
20230924-001,2022-30878-LQ-0,Philippine History,DOMT-3,24/09/2023
20230924-001,2022-30878-LQ-0,English Grammar and Composition,DOMT-3,24/09/2023
20230924-001,2022-30878-LQ-0,Research Writing Techniques,DOMT-3,24/09/2023
20231209-001,2024-33814-LQ-0,Architectural Design,BSARCHI-1,09/12/2023
20231209-001,2024-33814-LQ-0,Building Utilities,BSARCHI-1,09/12/2023
20230701-001,2022-13220-LQ-0,Philippine History,BSMM-3,01/07/2023
20230701-001,2022-13220-LQ-0,English Grammar and Composition,BSMM-3,01/07/2023
20230701-001,2022-13220-LQ-0,Research Writing Techniques,BSMM-3,01/07/2023
20230608-001,2023-70438-LQ-0,Data Structures in C,BSIT-2,08/06/2023
20230608-001,2023-70438-LQ-0,Computer Networks,BSIT-2,08/06/2023
20230608-001,2023-70438-LQ-0,Introduction to Programming,BSIT-2,08/06/2023
20230911-001,2021-45288-LQ-0,English Grammar and Composition,BEED-4,11/09/2023
20230911-001,2021-45288-LQ-0,Philippine History,BEED-4,11/09/2023
20230911-001,2021-45288-LQ-0,Research Writing Techniques,BEED-4,11/09/2023
20231024-001,2023-94106-LQ-0,Taxation Law,BSA-2,24/10/2023
20231024-001,2023-94106-LQ-0,Advanced Financial Accounting,BSA-2,24/10/2023
20231023-001,2021-51304-LQ-0,Digital Logic Design,BSEE-4,23/10/2023
20231023-001,2021-51304-LQ-0,Power Systems,BSEE-4,23/10/2023
20231023-001,2021-51304-LQ-0,Electric Circuits,BSEE-4,23/10/2023
20230915-001,2022-68992-LQ-0,English Grammar and Composition,BSAM-3,15/09/2023
20230915-001,2022-68992-LQ-0,Philippine History,BSAM-3,15/09/2023
20240312-001,2022-74962-LQ-0,Electric Circuits,BSEE-3,12/03/2024
20240312-001,2022-74962-LQ-0,Digital Logic Design,BSEE-3,12/03/2024
20240609-001,2023-39116-LQ-0,Philippine History,DOMT-2,09/06/2024
20240609-001,2023-39116-LQ-0,Research Writing Techniques,DOMT-2,09/06/2024
20240206-001,2024-22452-LQ-0,Taxation Law,BSA-1,06/02/2024
20240206-001,2024-22452-LQ-0,Auditing Theory,BSA-1,06/02/2024
20230116-001,2022-82185-LQ-0,Philippine History,DOMT-3,16/01/2023
20230519-002,2023-84240-LQ-0,Computer Hardware,DCpET-2,19/05/2023
20230519-002,2023-84240-LQ-0,Basic Programming,DCpET-2,19/05/2023
20230123-001,2023-93603-LQ-0,Basic Electrical Engineering,DEET-2,23/01/2023
20240410-002,2023-65163-LQ-0,Basic Electrical Engineering,DEET-2,10/04/2024
20240410-002,2023-65163-LQ-0,Industrial Electronics,DEET-2,10/04/2024
20230418-001,2021-67950-LQ-0,Auditing Theory,BSA-4,18/04/2023
20230112-001,2022-93789-LQ-0,Autocad Designs,DCvET-3,12/01/2023
20230112-001,2022-93789-LQ-0,Structural Integrity,DCvET-3,12/01/2023
20231102-001,2023-27725-LQ-0,Structural Analysis,BSCE-2,02/11/2023
20231102-001,2023-27725-LQ-0,Hydraulics,BSCE-2,02/11/2023
20230209-001,2024-55165-LQ-0,Building Utilities,BSARCHI-1,09/02/2023
20230725-002,2023-71622-LQ-0,Industrial Electronics,DEET-2,25/07/2023
20230725-002,2023-71622-LQ-0,Basic Electrical Engineering,DEET-2,25/07/2023
20230418-002,2023-62361-LQ-0,Philippine History,BSOA-2,18/04/2023
20230418-002,2023-62361-LQ-0,Research Writing Techniques,BSOA-2,18/04/2023
20230418-002,2023-62361-LQ-0,English Grammar and Composition,BSOA-2,18/04/2023
20230611-002,2024-81778-LQ-0,Principles of Marketing,BSBA-1,11/06/2023
20230611-002,2024-81778-LQ-0,Operations Management,BSBA-1,11/06/2023
20230726-001,2021-32613-LQ-0,Philippine History,BSBIO-4,26/07/2023
20230726-001,2021-32613-LQ-0,English Grammar and Composition,BSBIO-4,26/07/2023
20230726-001,2021-32613-LQ-0,Research Writing Techniques,BSBIO-4,26/07/2023
20230121-001,2022-34366-LQ-0,Research Writing Techniques,BSND-3,21/01/2023
20230121-001,2022-34366-LQ-0,Philippine History,BSND-3,21/01/2023
20240328-002,2022-50277-LQ-0,Auditing Theory,BSA-3,28/03/2024
20240328-002,2022-50277-LQ-0,Taxation Law,BSA-3,28/03/2024
20231215-001,2022-40935-LQ-0,Food and Beverage Services,BSHM-3,15/12/2023
20240412-001,2024-52068-LQ-0,Assessment of Learning,BSED-1,12/04/2024
20230604-001,2023-40633-LQ-0,Principles of Marketing,BSBA-2,04/06/2023
20230604-001,2023-40633-LQ-0,Business Ethics,BSBA-2,04/06/2023
20230604-001,2023-40633-LQ-0,Operations Management,BSBA-2,04/06/2023
20231021-001,2024-82607-LQ-0,Computer Hardware,DCpET-1,21/10/2023
20231021-001,2024-82607-LQ-0,Basic Programming,DCpET-1,21/10/2023
20231118-001,2022-20094-LQ-0,Research Writing Techniques,BSND-3,18/11/2023
20231118-001,2022-20094-LQ-0,Philippine History,BSND-3,18/11/2023
20230719-001,2023-99793-LQ-0,English Grammar and Composition,BSMM-2,19/07/2023
20230719-001,2023-99793-LQ-0,Research Writing Techniques,BSMM-2,19/07/2023
20240614-001,2023-27583-LQ-0,Food and Beverage Services,BSHM-2,14/06/2024
20240614-001,2023-27583-LQ-0,Housekeeping Management,BSHM-2,14/06/2024
20240203-001,2022-37180-LQ-0,Cost Accounting,BSA-3,03/02/2024
20240203-001,2022-37180-LQ-0,Auditing Theory,BSA-3,03/02/2024
20230324-001,2024-46449-LQ-0,Philippine History,BSAM-1,24/03/2023
20230324-001,2024-46449-LQ-0,Research Writing Techniques,BSAM-1,24/03/2023
20230324-001,2024-46449-LQ-0,English Grammar and Composition,BSAM-1,24/03/2023
20231002-001,2021-43985-LQ-0,Advanced Financial Accounting,BSA-4,02/10/2023
20240622-001,2024-31291-LQ-0,IT Fundamentals,DICT-1,22/06/2024
20240622-001,2024-31291-LQ-0,Web Development,DICT-1,22/06/2024
20230127-001,2024-09407-LQ-0,Database System Concepts,BSIT-1,27/01/2023
20230127-001,2024-09407-LQ-0,Introduction to Programming,BSIT-1,27/01/2023
20230127-001,2024-09407-LQ-0,Computer Networks,BSIT-1,27/01/2023
20230525-001,2021-11331-LQ-0,Research Writing Techniques,BSND-4,25/05/2023
20230525-001,2021-11331-LQ-0,Philippine History,BSND-4,25/05/2023
20230525-001,2021-11331-LQ-0,English Grammar and Composition,BSND-4,25/05/2023
20240521-001,2023-11877-LQ-0,Business Ethics,BSBA-2,21/05/2024
20230328-001,2021-92535-LQ-0,Building Utilities,BSARCHI-4,28/03/2023
20230328-001,2021-92535-LQ-0,Architectural Design,BSARCHI-4,28/03/2023
20240124-001,2024-30194-LQ-0,Philippine History,BSND-1,24/01/2024
20240124-001,2024-30194-LQ-0,Research Writing Techniques,BSND-1,24/01/2024
20230202-001,2023-93178-LQ-0,Computer Hardware,DCpET-2,02/02/2023
20230202-001,2023-93178-LQ-0,Basic Programming,DCpET-2,02/02/2023
20230329-001,2024-45567-LQ-0,Curriculum Development,BSED-1,29/03/2023
20230329-001,2024-45567-LQ-0,Assessment of Learning,BSED-1,29/03/2023
20230823-001,2024-58163-LQ-0,Curriculum Development,BSED-1,23/08/2023
20230823-001,2024-58163-LQ-0,Assessment of Learning,BSED-1,23/08/2023
20240119-001,2023-54642-LQ-0,Electric Circuits,BSEE-2,19/01/2024
20240411-001,2023-37667-LQ-0,Research Writing Techniques,BPA-2,11/04/2024
20240113-001,2022-91024-LQ-0,Food and Beverage Services,BSHM-3,13/01/2024
20240113-001,2022-91024-LQ-0,Housekeeping Management,BSHM-3,13/01/2024
20230423-001,2023-92832-LQ-0,Philippine History,BSOA-2,23/04/2023
20230423-001,2023-92832-LQ-0,Research Writing Techniques,BSOA-2,23/04/2023
20230510-001,2021-35420-LQ-0,Philippine History,BSOA-4,10/05/2023
20230510-001,2021-35420-LQ-0,Research Writing Techniques,BSOA-4,10/05/2023
20230510-001,2021-35420-LQ-0,English Grammar and Composition,BSOA-4,10/05/2023
20230617-001,2022-05918-LQ-0,Advanced Financial Accounting,BSA-3,17/06/2023
20230617-001,2022-05918-LQ-0,Cost Accounting,BSA-3,17/06/2023
20230617-001,2022-05918-LQ-0,Auditing Theory,BSA-3,17/06/2023
20240423-001,2024-69838-LQ-0,Housekeeping Management,BSHM-1,23/04/2024
20240423-001,2024-69838-LQ-0,Food and Beverage Services,BSHM-1,23/04/2024
20230914-001,2022-22011-LQ-0,Electric Circuits,BSEE-3,14/09/2023
20230914-001,2022-22011-LQ-0,Digital Logic Design,BSEE-3,14/09/2023
20240128-001,2022-19718-LQ-0,Basic Programming,DCpET-3,28/01/2024
20240422-001,2022-49296-LQ-0,English Grammar and Composition,BEED-3,22/04/2024
20240422-001,2022-49296-LQ-0,Research Writing Techniques,BEED-3,22/04/2024
20230413-001,2021-54752-LQ-0,Building Utilities,BSARCHI-4,13/04/2023
20230413-001,2021-54752-LQ-0,Architectural Design,BSARCHI-4,13/04/2023
20240421-001,2022-14904-LQ-0,English Grammar and Composition,BPA-3,21/04/2024
20240421-001,2022-14904-LQ-0,Research Writing Techniques,BPA-3,21/04/2024
20240421-001,2022-14904-LQ-0,Philippine History,BPA-3,21/04/2024
20230204-002,2022-95424-LQ-0,Power Systems,BSEE-3,04/02/2023
20230204-002,2022-95424-LQ-0,Electric Circuits,BSEE-3,04/02/2023
20230204-002,2022-95424-LQ-0,Digital Logic Design,BSEE-3,04/02/2023
20231101-001,2023-27635-LQ-0,Housekeeping Management,BSHM-2,01/11/2023
20231101-001,2023-27635-LQ-0,Food and Beverage Services,BSHM-2,01/11/2023
20240422-002,2022-69766-LQ-0,Electric Circuits,BSEE-3,22/04/2024
20240422-002,2022-69766-LQ-0,Power Systems,BSEE-3,22/04/2024
20240422-002,2022-69766-LQ-0,Digital Logic Design,BSEE-3,22/04/2024
20230701-002,2024-36856-LQ-0,Research Writing Techniques,BPA-1,01/07/2023
20230701-002,2024-36856-LQ-0,English Grammar and Composition,BPA-1,01/07/2023
20230130-001,2022-47455-LQ-0,Industrial Electronics,DEET-3,30/01/2023
20230315-001,2021-96126-LQ-0,Digital Logic Design,BSEE-4,15/03/2023
20230315-001,2021-96126-LQ-0,Power Systems,BSEE-4,15/03/2023
20230315-001,2021-96126-LQ-0,Electric Circuits,BSEE-4,15/03/2023
20230607-001,2021-08019-LQ-0,Research Writing Techniques,BSOA-4,07/06/2023
20230607-001,2021-08019-LQ-0,English Grammar and Composition,BSOA-4,07/06/2023
20230214-001,2023-70575-LQ-0,Electric Circuits,BSEE-2,14/02/2023
20230214-001,2023-70575-LQ-0,Digital Logic Design,BSEE-2,14/02/2023
20240206-002,2024-83498-LQ-0,Research Writing Techniques,BSND-1,06/02/2024
20230613-001,2021-09982-LQ-0,Auditing Theory,BSA-4,13/06/2023
20230613-001,2021-09982-LQ-0,Cost Accounting,BSA-4,13/06/2023
20240119-002,2023-16493-LQ-0,English Grammar and Composition,BEED-2,19/01/2024
20230312-003,2021-84452-LQ-0,Food and Beverage Services,BSHM-4,12/03/2023
20230312-003,2021-84452-LQ-0,Housekeeping Management,BSHM-4,12/03/2023
20230322-001,2022-94761-LQ-0,Operations Management,BSBA-3,22/03/2023
20240122-001,2022-34251-LQ-0,Assessment of Learning,BSED-3,22/01/2024
20240122-001,2022-34251-LQ-0,Curriculum Development,BSED-3,22/01/2024
20230704-001,2023-59816-LQ-0,Philippine History,DOMT-2,04/07/2023
20230704-001,2023-59816-LQ-0,Research Writing Techniques,DOMT-2,04/07/2023
20230704-001,2023-59816-LQ-0,English Grammar and Composition,DOMT-2,04/07/2023
20230201-001,2022-15555-LQ-0,Structural Analysis,BSCE-3,01/02/2023
20231228-001,2024-73543-LQ-0,Research Writing Techniques,DOMT-1,28/12/2023
20240113-002,2024-54418-LQ-0,English Grammar and Composition,DOMT-1,13/01/2024
20240114-001,2023-84504-LQ-0,Autocad Designs,DCvET-2,14/01/2024
20230415-001,2024-78351-LQ-0,Research Writing Techniques,BSOA-1,15/04/2023
20230728-001,2023-76651-LQ-0,English Grammar and Composition,BSBIO-2,28/07/2023
20230728-001,2023-76651-LQ-0,Research Writing Techniques,BSBIO-2,28/07/2023
20230728-001,2023-76651-LQ-0,Philippine History,BSBIO-2,28/07/2023
20231023-002,2023-25720-LQ-0,Computer Networks,BSIT-2,23/10/2023
20231023-002,2023-25720-LQ-0,Introduction to Programming,BSIT-2,23/10/2023
20231023-002,2023-25720-LQ-0,Artificial Intelligence,BSIT-2,23/10/2023
20240328-003,2022-50380-LQ-0,Architectural Design,BSARCHI-3,28/03/2024
20230209-002,2024-14205-LQ-0,Structural Integrity,DCvET-1,09/02/2023
20230726-002,2022-74628-LQ-0,Philippine History,DOMT-3,26/07/2023
20230726-002,2022-74628-LQ-0,English Grammar and Composition,DOMT-3,26/07/2023
20230621-001,2024-24094-LQ-0,Research Writing Techniques,BEED-1,21/06/2023
20230621-001,2024-24094-LQ-0,Philippine History,BEED-1,21/06/2023
20230621-001,2024-24094-LQ-0,English Grammar and Composition,BEED-1,21/06/2023
20230118-001,2023-86372-LQ-0,Database System Concepts,BSIT-2,18/01/2023
20231128-001,2023-42101-LQ-0,Database System Concepts,BSIT-2,28/11/2023
20230603-001,2022-65717-LQ-0,Research Writing Techniques,BSBIO-3,03/06/2023
20240622-002,2021-10251-LQ-0,Research Writing Techniques,BSND-4,22/06/2024
20240622-002,2021-10251-LQ-0,Philippine History,BSND-4,22/06/2024
20230409-001,2021-37707-LQ-0,Housekeeping Management,BSHM-4,09/04/2023
20230409-001,2021-37707-LQ-0,Food and Beverage Services,BSHM-4,09/04/2023
20240405-002,2023-57145-LQ-0,Research Writing Techniques,BSOA-2,05/04/2024
20240302-001,2023-36500-LQ-0,Research Writing Techniques,BSND-2,02/03/2024
20240302-001,2023-36500-LQ-0,English Grammar and Composition,BSND-2,02/03/2024
20240219-001,2024-01852-LQ-0,Advanced Financial Accounting,BSA-1,19/02/2024
20230810-001,2022-71496-LQ-0,Hydraulics,BSCE-3,10/08/2023
20230810-001,2022-71496-LQ-0,Structural Analysis,BSCE-3,10/08/2023
20230810-001,2022-71496-LQ-0,Geotechnical Engineering,BSCE-3,10/08/2023
20230418-003,2021-93937-LQ-0,English Grammar and Composition,BSAM-4,18/04/2023
20230418-003,2021-93937-LQ-0,Philippine History,BSAM-4,18/04/2023
20230401-001,2024-16173-LQ-0,Food and Beverage Services,BSHM-1,01/04/2023
20230410-001,2024-75025-LQ-0,Basic Programming,DCpET-1,10/04/2023
20230410-001,2024-75025-LQ-0,Computer Hardware,DCpET-1,10/04/2023
20231027-001,2022-14174-LQ-0,Architectural Design,BSARCHI-3,27/10/2023
20240314-001,2023-47851-LQ-0,Philippine History,BPA-2,14/03/2024
20240314-001,2023-47851-LQ-0,English Grammar and Composition,BPA-2,14/03/2024
20230905-001,2021-51093-LQ-0,Architectural Design,BSARCHI-4,05/09/2023
20240207-001,2021-61306-LQ-0,English Grammar and Composition,BSND-4,07/02/2024
20230630-001,2024-72242-LQ-0,Building Utilities,BSARCHI-1,30/06/2023
20230716-002,2023-18356-LQ-0,Structural Analysis,BSCE-2,16/07/2023
20230716-002,2023-18356-LQ-0,Hydraulics,BSCE-2,16/07/2023
20230716-002,2023-18356-LQ-0,Geotechnical Engineering,BSCE-2,16/07/2023
20240422-003,2022-62632-LQ-0,Building Utilities,BSARCHI-3,22/04/2024
20240309-001,2022-94913-LQ-0,Basic Electrical Engineering,DEET-3,09/03/2024
20240309-001,2022-94913-LQ-0,Industrial Electronics,DEET-3,09/03/2024
20230213-002,2024-16135-LQ-0,Philippine History,BSBIO-1,13/02/2023
20240201-001,2024-28120-LQ-0,Database System Concepts,BSIT-1,01/02/2024
20240201-001,2024-28120-LQ-0,Computer Networks,BSIT-1,01/02/2024
20240201-001,2024-28120-LQ-0,Data Structures in C,BSIT-1,01/02/2024
20240611-001,2021-87884-LQ-0,English Grammar and Composition,BEED-4,11/06/2024
20240606-001,2021-71181-LQ-0,Power Systems,BSEE-4,06/06/2024
20240126-001,2021-39627-LQ-0,Structural Analysis,BSCE-4,26/01/2024
20240126-001,2021-39627-LQ-0,Geotechnical Engineering,BSCE-4,26/01/2024
20231212-001,2023-14463-LQ-0,English Grammar and Composition,DOMT-2,12/12/2023
20231212-001,2023-14463-LQ-0,Philippine History,DOMT-2,12/12/2023
20231212-001,2023-14463-LQ-0,Research Writing Techniques,DOMT-2,12/12/2023
20230727-002,2023-52161-LQ-0,Philippine History,DOMT-2,27/07/2023
20230727-002,2023-52161-LQ-0,Research Writing Techniques,DOMT-2,27/07/2023
20230717-001,2021-18792-LQ-0,Hydraulics,BSCE-4,17/07/2023
20230717-001,2021-18792-LQ-0,Structural Analysis,BSCE-4,17/07/2023
20230717-001,2021-18792-LQ-0,Geotechnical Engineering,BSCE-4,17/07/2023
20230715-001,2024-98058-LQ-0,Power Systems,BSEE-1,15/07/2023
20230715-001,2024-98058-LQ-0,Electric Circuits,BSEE-1,15/07/2023
20240319-001,2022-93722-LQ-0,Web Development,DICT-3,19/03/2024
20240319-001,2022-93722-LQ-0,IT Fundamentals,DICT-3,19/03/2024
20240218-001,2023-35180-LQ-0,Research Writing Techniques,BSND-2,18/02/2024
20240218-001,2023-35180-LQ-0,English Grammar and Composition,BSND-2,18/02/2024
20240218-001,2023-35180-LQ-0,Philippine History,BSND-2,18/02/2024
20230221-001,2024-42392-LQ-0,English Grammar and Composition,BSBIO-1,21/02/2023
20230923-001,2024-35412-LQ-0,Electric Circuits,BSEE-1,23/09/2023
20230508-001,2023-19425-LQ-0,Philippine History,BSBIO-2,08/05/2023
20230916-001,2024-70062-LQ-0,Curriculum Development,BSED-1,16/09/2023
20230916-001,2024-70062-LQ-0,Assessment of Learning,BSED-1,16/09/2023
20240118-001,2022-71845-LQ-0,Business Ethics,BSBA-3,18/01/2024
20230620-001,2024-50731-LQ-0,Philippine History,BSBIO-1,20/06/2023
20230909-001,2023-89309-LQ-0,Food and Beverage Services,BSHM-2,09/09/2023
20240107-001,2024-25160-LQ-0,English Grammar and Composition,BEED-1,07/01/2024
20240107-001,2024-25160-LQ-0,Research Writing Techniques,BEED-1,07/01/2024
20240107-001,2024-25160-LQ-0,Philippine History,BEED-1,07/01/2024
20230408-001,2022-84764-LQ-0,Structural Integrity,DCvET-3,08/04/2023
20230408-001,2022-84764-LQ-0,Autocad Designs,DCvET-3,08/04/2023
20230905-002,2023-11571-LQ-0,Cost Accounting,BSA-2,05/09/2023
20230514-001,2023-52466-LQ-0,Philippine History,DOMT-2,14/05/2023
20230514-001,2023-52466-LQ-0,Research Writing Techniques,DOMT-2,14/05/2023
20230918-002,2023-70332-LQ-0,English Grammar and Composition,BSND-2,18/09/2023
20230918-002,2023-70332-LQ-0,Research Writing Techniques,BSND-2,18/09/2023
20230811-001,2021-14751-LQ-0,Research Writing Techniques,BPA-4,11/08/2023
20230811-001,2021-14751-LQ-0,Philippine History,BPA-4,11/08/2023
20230811-001,2021-14751-LQ-0,English Grammar and Composition,BPA-4,11/08/2023
20231020-001,2024-01123-LQ-0,Architectural Design,BSARCHI-1,20/10/2023
20240414-001,2024-99778-LQ-0,Assessment of Learning,BSED-1,14/04/2024
20240414-001,2024-99778-LQ-0,Curriculum Development,BSED-1,14/04/2024
20230812-001,2024-72610-LQ-0,Digital Logic Design,BSEE-1,12/08/2023
20230812-001,2024-72610-LQ-0,Power Systems,BSEE-1,12/08/2023
20230224-001,2023-17507-LQ-0,English Grammar and Composition,BEED-2,24/02/2023
20230224-001,2023-17507-LQ-0,Research Writing Techniques,BEED-2,24/02/2023
20230224-001,2023-17507-LQ-0,Philippine History,BEED-2,24/02/2023
20231201-001,2021-72388-LQ-0,English Grammar and Composition,BSAM-4,01/12/2023
20231201-001,2021-72388-LQ-0,Philippine History,BSAM-4,01/12/2023
20231230-001,2021-73344-LQ-0,Philippine History,BSMM-4,30/12/2023
